ID,Esai
11,"""pengalaman belajar yang saya rasakan adalah sering berdiskusi dengan teman bisa mengerjakan dengan serius atau bercanda
saya memahami materi lumayan bisa kadang bikin stress kadang engga
strategi yang saya gunakan untuk memahami materi adalah menonton vidio/tutorial
kalo media kurang tau """
12,"""1.Pengalaman
Saat membuat game dan menemukan kesalahan yang akhirnya meminta tolong pada orang lain,itu membuat saya semakin berkembang untuk lebih tau tentang kesalahan keslahan yang dihadapi seorang developer game untuk membuat game yang diminta oleh client,dan itu sengat berarti bagi saya walau orang lain menggangapnya sepele.
2.Saat membuat game ada langkah langkah yang tidak ada/sesuai dengan module,jadi saya meriset dari berbagai sumber [Teman saya] dan menemukan langkah langkah yang tidak seharusnya ada dimodule,dan oleh sebab itu saya menjadi semakin tahu langkah langkah baru untuk membuat game.
3.Sejak dari dulu saya selalu menggunakan metode 5M yaitu:
-Membaca
-Melihat
-Memahami
-Mempraktekkan
-Menyimpulkan
Tetapi saya akhir akhir ini sering menggunakan metode Melihat,karna dari melihat saya langsung bisa menyimpulkan apa yang harus saya lakukan dan lebih tau tentang tutorial/langkah langkah suatu program.
4.Saya lebih suka menggunakan media komputer sekaligus kertas untuk menyimpulkan sesuatu yang saat ini saya sedang pelajari atau riset yang mungkin akan berguna unruk masa depan saya.

Ahayyy :v"""
13,"""1. Pengalaman yang paling berkesan adalah ketika saya berhasil menyelesaikan pekerjaan atau tugas yang saya belum pernah belajar. 
2.Saya memahami materi dengan cara membaca berulang kali sampai paham, mencatat poin poin penting dan mengerjakan soal latihan. 
3. Saya lebih suka memahami materi dengan metode yang langsung melibatkan gerakan fisik misalnya simulasi atau praktikum karena cepat paham. 
4. Saya sering menggunakan media di internet ketika sedang bingung menjawabnya karena cepat ditemui dan dipahami dan ketika di internet tidak ada yg cocok saya beralih ke buku dan mencari jawaban sendiri"""
14,"""               pengalaman saya saat belajar memilii banyak makna yang berarti bagi saya. seperti saat saya mempelajari ilmu game software. diamana saya cenderug lebih suka saat pertsms ksli mempelajari tentang game platformer. memang saya dari dulu ingin membuat game yang berunsur platfrome maka dari situ saya langsung ingin mempelajari lebih dalam mengenai materi itu
                   cara saya memahami materi dengan melakukan browsing internet. karena saya butuh pemahaman langsung dari orang lain yang melakukan hal yang saya inginkan.
                   strategi pembelajaran yang saya pakai adalah mencari tahu apa yang orang belum tahu.
               media yang saya selalu pakai adalah youtube"""
15,"""      Pengalaman belajar paling berkesan saya adalah saat pertama kali menjawab pertanyaan sulit. Tantangannya besar, tetapi itu membuat saya lebih memahami cara berpikir manusia dan pentingnya belajar dari kesalahan.
      Saya memahami materi dengan mempelajari konsep dasarnya, mencatat poin penting, dan mencoba contoh kasus. Setelah itu, saya berlatih soal untuk menguji pemahaman dan mencari referensi tambahan jika ada bagian yang sulit.
       Saya menggunakan active learning dengan langsung mempraktikkan materi lewat latihan, karena lebih mudah diingat dan dipahami. Selain itu, mind mapping membantu mengorganisir informasi penting agar lebih terstruktur.
        Saya suka menggunakan video pembelajaran dan tutorial online karena memberikan penjelasan visual yang jelas dan dapat diakses kapan saja untuk belajar lebih fleksibel.

"""
16,"""          Pengalaman belajar saya yang paling berkesan adalah ketika saya mulai belajar membuat game, bagi saya itu adalah pengalaman baru yang belum pernah saya lakukan
          Cara memahami materi saya adalah dengan cara mempelajari ulang melalui penjelasan yang lebih lengkap seperti tayangan video penjelasannya
           Strategi pembelajaran yang saya lakukan adalah mengkaji ulang materi yang saya pelajari karena saya dapat lebih paham dengan mempelajari ulang 
           Saya paling sering menggunakan media internet karena di internet banyak media pembelajaran baik dengan penjelasan tertulis atau dengan penjelasan video dari youtube"""
17,"""saya pernah belajar di luar kelas dan itu rasanya menyenangkan karena belajar di luar kelas membuat saya semakin mendekat ke alam, dan rasanya itu sangat sejuk sekali bahkan lebih enak belajar di luar kelas dari pada di dalam kelas. 

saya dapat memahami materi dengan cara membaca ulang atau mempelajari ulang materi yang sebelumnya saya baca dan saya lebih suka langsung mempraktikkan apa yang sebelumnya saya pelajari, yang pertama biasanya saya membaca dahulu jika tidak paham saya kembali membaca  dan mempraktikkannya. 

saya memilih metode pembelajaran 70% praktik, 30% membaca, saya memilih metode tersebut karena saya sangat suka mengerjakan soal dari pada membaca. 

saya lebih suka dengan media hp karna di hp biasanya saya bisa membuka atau mencari apa yang ingin saya pelajari dan biasanya ketika saya belajar saya juga sambil mendengar musik agar materi yang saya baca semakin masukk. """
18,"""   Saat saya belajar membuat game dengan komputer. Walaupun rumit saat membuatnya, Tetapi itu manjadi tantangan yang menarik untuk saya.

  Saya dapat memahaminya dengan melihat vidio tutorial yang ada diYoutube dan juga saya bisa bertanya kepada teman saya. Agar saya dapat lebih mengenal materi itu biasanya melihat Youtube yang berkaitan dengan materi yang saya pelajari.

  Saya biasanya melihat vidio tutorial agar dapat memahami materinya dan juga saya melihat secara langsung bagaimana cara membuatnya. Karena dengan cara tersebut saya dapat lebih mudah memahami materi tersebut.

  Saya senang ketika belajar menggunakan handphone. karena handphone mudah digunakan dan dapat dibawa kemana saja"""
19,"""Pengalaman belajar saya yang paling terkesan adalah saat pertama kali mengenal cara membuat game, pada saat itu saya sangat bingung dan merasa sulit sekali mengerjakannya namun bu lala dan bu anis dengan sabar mengajari saya cara membuat game. Saya biasanya memahami materi dengan membaca materi tersebut secara berulang ulang, sambil mengucapkannya di hati atau secara langsung. Dengan mengucap secara langsung biasanya saya lebih mudah memahami materi. Strategi saya dalam memahami materi yaitu dengan metode doodling method (menulis di kertas dan dengan membacanya). Media yang saya sukai saat belajar yaitu, mendengar penjelasan orang lain baik lewat sosial media maupun secara langsung, saya juga suka berdiskusi dengan orang lain namun saya tidak suka saat orang yang saya ajak diskusi egois tidak mau disalahkan. Selain itu jika memang sudah buntu saya menggunakan media menulis/membaca sembari mendengarkan musik. 
Terimakasih bu lala , tetap semangat dan tetap sabar menyampaikan ilmu ilmu ꒰⁠⑅⁠ᵕ⁠༚⁠ᵕ⁠꒱⁠˖⁠♡"""
20,"""  Pengalaman belajar saya yang paling berkesan adalah ketika saya mempelajari mata pelajaran yang menggunakan logika agar bisa dipahami, seperti matematika. Lalu yang saya rasakan saya bisa fokus pada pembelajaran tersebut, sehingga saya terhindar dari pikiran pikiran negatif.

  Cara saya memahaminya adalah dengan memahami persoalannya dan mencari hubungan sebab akibatnya. Lalu setelah itu mencari solusi yang tepat. Langkah pendekatan yang saya lakukan adalah mempertajam cara berpikir logika saya.

  Metode mencari dan memahami persoalannya lebih lama dibandingkan mencari solusinya. Karena solusi yang tepat akan muncul dengan sendirinya hanya dengan memahami persoalan yang ada. Serta salah satu orang terpintar pernah berkata """"Jika saya diberi waktu 60 menit untuk memcahkan masalah, saya akan gunakan 50 menit untuk memahami masalah dan 10 menit untuk mencari solusi.""""

  Yang paling saya sukai tentunya buku. Tetapi terkadang dengan melihat tebalnya buku tersebut, membuat saya agak malas untuk belajar. Meski begitu saya tetap memilih buku. Karena buku saat belajar tentang satu hal pastinya akan mendapat hal lain yang berguna. Hal itu dikarenakan saat kita mencari sesuatu di buku maka kita akan membuka lembaran lain yang tentunya berisi informasi pembelajaran yang berguna. Selain itu isi dari buku sudah pasti bisa dipercaya."""
21,"""        Pengalaman belajar saya yang paling berkesan ketika saya belajar tentang dasar dasar pemrograman tentang komputer. Pada awalnya saya merasa kesusahan karena masih bingung atau tidak faham tentang pemrograman komputer, sedikit demi sedikit saya mulai memahaminya. Tugas yang diberikan oleh guru saya dapat menyelesaikannya dengan baik. Pengalan ini memberi saya rasa puas dan bangga.
        Cara memahami materi tersebut, saya mulai mempelajari dasar konsep konsep dasar secara bertahap. Saya melihat beberapa video tutorial lalu saya catat bagian bagian terpentingnya yang di jelaskan. Setelah saya selsai melihat video tutorial itu, saya mulai mempraktekan teori yang disampaikan. Dengan pendekatan ini, saya merasa lebih memahami materi yang ada.
        Metode yang saya gunakan untuk memahami suatu materi adalah dengan teknik belajar secara konsisten. Dengan belajar secara konsisten materi yang saya pelajari atau dasar dasar pemrograman komputer bisa lebih paham dan dapat memperdalam materi tersebut. Saya juga mulai mecoba membuat poyek kecil untuk meningkatkan pola berpikir logis saya.
        Media yang sering saya gunakan dalam memperdalam skill pemrograman saya adalah media internet dan beberapa video tutorial yang ada di media sosial. Dengan adanya media seperti tersebut akan sangat memudahkan saya dalam memahami dasar dasar pemrograman komputer."""
22,"""
Salah satu pengalaman belajar yang paling berkesan bagi saya adalah ketika saya mengikuti sebuah kursus pemrograman komputer. Pada awalnya, saya merasa bingung dan cemas karena bahasa pemrograman yang digunakan cukup rumit dan baru bagi saya. Namun, seiring berjalannya waktu, saya mulai memahami dasar-dasarnya dan bisa menyelesaikan tugas-tugas yang diberikan dengan baik. Pengalaman ini memberikan rasa puas dan bangga, karena saya berhasil melalui tantangan yang awalnya terasa sulit.


Untuk memahami materi pemrograman tersebut, saya mulai dengan mempelajari konsep-konsep dasar secara bertahap. Saya membuat catatan dari setiap modul yang diajarkan dan mencoba mempraktikkan teori yang saya pelajari melalui latihan soal. Selain itu, saya juga mencari sumber tambahan seperti video tutorial dan artikel online untuk memperdalam pemahaman. Dengan pendekatan ini, saya merasa lebih mudah menguasai materi yang ada.


Metode yang saya gunakan untuk memahami materi adalah dengan teknik belajar aktif. Saya mencoba langsung mengerjakan latihan-latihan dan membuat proyek kecil untuk mengaplikasikan teori. Saya memilih metode ini karena menurut saya praktik langsung lebih efektif daripada hanya membaca atau mendengar penjelasan. Dengan cara ini, saya bisa lebih memahami bagaimana kode-kode tersebut bekerja dan menyelesaikan masalah nyata.

Media yang paling sering saya gunakan dalam belajar adalah video tutorial di platform belajar online. Saya memilih media ini karena penjelasan yang diberikan lebih interaktif dan mudah dipahami. Selain itu, saya bisa mengulang bagian yang kurang jelas sampai benar-benar mengerti. Penggunaan media video juga membuat proses belajar menjadi lebih menarik dan tidak membosankan."""
23,"""1. Pengalaman Belajar yang Berkesan: Pengalaman belajar yang paling berkesan bagi saya adalah ketika saya mengikuti sebuah lokakarya menulis kreatif. Dalam sesi tersebut, saya dan peserta lain diajak untuk mengeksplorasi teknik-teknik menulis yang baru, seperti bermain dengan sudut pandang atau memanfaatkan metafora yang lebih kreatif. Saat itu, saya merasa sangat tertantang dan bersemangat, terutama ketika kami harus menulis secara spontan dengan batas waktu tertentu. Selain itu, saya juga merasa percaya diri karena mendapat apresiasi atas tulisan saya dari mentor dan peserta lain. Pengalaman ini membuat saya semakin menyukai menulis dan termotivasi untuk terus belajar.

2. Cara Memahami Materi: Untuk memahami materi, biasanya saya memulai dengan membaca secara umum untuk mendapatkan gambaran besar. Setelah itu, saya mencatat poin-poin penting dalam bentuk mind map atau diagram agar lebih mudah melihat keterkaitan antar konsep. Jika ada hal yang kurang dipahami, saya mencari referensi tambahan, seperti video atau artikel online. Pendekatan ini membantu saya untuk menguraikan materi yang rumit menjadi bagian-bagian yang lebih mudah dipahami dan diingat.

3. Strategi Pembelajaran: Metode yang sering saya gunakan adalah belajar dengan teknik active recall dan spaced repetition. Dengan active recall, saya mencoba mengingat informasi tanpa melihat catatan, sedangkan dengan spaced repetition, saya mengulangi materi dalam interval waktu tertentu untuk memperkuat ingatan. Saya memilih teknik ini karena terbukti efektif untuk memperkuat memori jangka panjang dan membantu saya memahami materi dengan lebih mendalam.

4. Media: Media yang paling sering saya gunakan adalah video pembelajaran di platform seperti YouTube atau situs edukasi. Alasan saya memilih media ini adalah karena visualisasi dan penjelasan langsung dari tutor membuat materi lebih mudah dipahami. Video sering kali menyajikan konsep dengan cara yang lebih interaktif dan menarik, yang membantu saya memahami materi dengan cepat dan mendalam."""
24,"""    Salah satu pengalaman belajar saya yang paling berkesan adalah saat saya berhasil ketika membuat game dan tidak ada hambatan saat membuatnya, saya merasa senang jika hal itu terjadi.

    Cara saya memahami materi adalah dengan tetap memperhatikan guru saat mereka sedang menerangkan materi dan melihat dengan teliti modul yang telah diberikan.

    Jika saya masih tidak paham tentang materi yang disampaikan oleh guru, saya akan bertanya pada guru tersebut dan teman-teman yang lain, saya juga bisa melihat video tutorial dari YouTube.

    Media yang saya sukai atau yang paling sering saya gunakan ketika belajar adalah tablet dan laptop saya walaupun sering kali kinerja laptop saya lambat, jadi saya lebih sering menggunakan gawai lainnya, alasannya karena lebih mudah digunakan."""
25,"""1. saat membuat game, saya kira membuat game itu sangat rumit,ternyata saat saya coba memang serumit itu dan itulah yang menjadi tantangan saya untuk lebih mendalami lagi tentang membuat game

2. dengan cara melihat secara langsung dan melihat tutorial

3.  dengan cara melihat tutorial, saya lebih paham ketika di tutorial tersebut ada langkah-langkah yang mudah untuk di pahami

4. youtube,tiktok,dan google karena di situ mudah untuk mendapatkan informasi yang saya butuhkan"""
26,"""1.Pengalaman belajar paling berkesan saya adalah saat mengikuti pelatihan debat di sekolah. Awalnya gugup, tapi bimbingan pelatih membantu saya percaya diri. Pengalaman ini mengajarkan pentingnya percaya diri dan menerima masukan.
2.Saya memahami materi dengan mencatat poin penting, menjelaskan ulang, mencari referensi tambahan jika sulit, berdiskusi dengan teman atau guru, dan mengerjakan latihan soal.
3.Saya menggunakan metode membaca, mencatat poin penting, menjelaskan ulang dengan kata-kata sendiri, dan latihan soal. Metode ini saya pilih karena membantu saya memahami dan mengingat materi secara mendalam, serta memastikan pemahaman saya melalui praktik langsung.
4.Saya paling sering menggunakan media video pembelajaran, seperti YouTube atau platform e-learning. Media ini saya pilih karena lebih interaktif dan visual, sehingga membantu saya memahami materi dengan lebih mudah dan menarik.


"""
27,"""Pengalaman saya saat belajar sangat banyak sekali dimulai dari saya yang hanya ingin memasuki jurusan pplg ini hanya karena ingin mengerti cara menjalankan komputer dengan benar.

Saya kira jurusan ini tidak terlalu sulit ternyata sangatlah sulit bagi saya untuk memahami semua materi"""" di jurusan ini, dari situlah saya mamiliki cara untuk memahami materi dengan bertanya tanya kepada guru saya dan teman teman saya yang paham tentang materi tersebut.

Saya juga memiliki metode belajar yaitu ketika diberikan tugas saya akan menunggu teman saya untuk mengerjakan terlebih dahulu, lalu saya akan melihat hasilnya dan mencobanya dengan bertanya"""" apa saja elemen"""" nya dan saya akan mengingat elemen"""" tersebut dan menggunakan nya untuk belajar sendiri.

Saya menyukai media pembelajaran yang berbasis ilustrasi gambar yang menarik dan enak di pandang dengan mata,dan saya juga suka dengan menggunakan video juga.


"""
28,"""1. Pengalaman belajar paling berkesan adalah saat mendalami bisnis parfum. Saya tertarik dan tertantang dengan banyak hal baru, seperti menciptakan aroma unik dan memahami pemasaran. Setiap keberhasilan kecil membuat saya makin percaya diri.


2. Untuk memahami materi, saya memecahnya menjadi bagian-bagian kecil dan fokus satu per satu. Memahami konsep dasar sebelum mendalami detail membantu saya memahami keseluruhan materi.


3. Saya sering menggunakan metode praktik langsung, seperti mencampur bahan parfum. Cara ini memudahkan saya memahami dan mengingat konsep dengan lebih baik.


4. Media favorit saya adalah YouTube dan artikel online, karena mudah diakses, fleksibel, dan menawarkan berbagai sudut pandang dari para ahli.
"""
29,"""     Pengalaman belajar yang paling berkesan adalah ketika berhasil menyelesaikan perintah-perintah yang disuruh oleh guru. Yang terjadi pada saat itu adalah tidak mengalami kegagalan walaupun 1 kali percobaan.

     Saya dapat memahami materi yang telah saya pelajari karena cara penyampaiannya yang mudah untuk dimengerti. Pendekatan yang saya lakukan adalah dengan cara memahami orang yang sedang menjelaskan.

     Saya menggunakan teknik konsentrasi, saya menggunakan teknik tersebut karena  mudah untuk dilakukan.

     Media yang paling saya sukai ketika belajar adalah media internet, saya menggunakan media tersebut karena mudah digunakan untuk belajar."""
30,"""
Pengalaman belajar yang paling berkesan bagi saya adalah ketika pertama kali mempresentasikan proyek penelitian di depan banyak orang. Saat itu, saya merasa sangat gugup karena khawatir tidak bisa menjelaskan dengan baik. Namun, setelah mulai berbicara, saya merasakan kepercayaan diri tumbuh karena telah mempersiapkan materi dengan matang. Ketika presentasi selesai dan mendapatkan apresiasi dari dosen dan teman-teman, saya merasa sangat bangga dan termotivasi untuk terus belajar.
Saya biasanya memahami materi dengan membaginya menjadi langkah-langkah kecil. Pertama, saya membaca secara keseluruhan untuk mendapatkan gambaran umum. Setelah itu, saya mencatat poin-poin penting atau membuat ringkasan sederhana. Jika ada konsep yang sulit, saya mencoba mencari referensi tambahan seperti video, artikel, atau berdiskusi dengan teman. Langkah-langkah ini membantu saya menyerap informasi secara bertahap dan mendalam.
Metode yang paling sering saya gunakan adalah mind mapping dan diskusi kelompok. Dengan mind mapping, saya bisa menyusun informasi secara visual, membuat hubungan antar konsep menjadi lebih jelas. Sementara itu, diskusi kelompok membantu saya memahami perspektif baru yang mungkin tidak terpikirkan sebelumnya. Saya memilih kedua metode ini karena keduanya melibatkan proses aktif yang membuat belajar menjadi lebih menarik dan mudah diingat
Media yang paling saya sukai adalah video pembelajaran dan aplikasi digital. Video pembelajaran membantu saya memahami konsep sulit dengan cara yang lebih interaktif dan menarik, terutama karena sering disertai visualisasi yang mendukung penjelasan. Saya juga suka menggunakan aplikasi seperti flashcards digital untuk menghafal istilah atau konsep penting. Media ini saya pilih karena fleksibel dan bisa digunakan kapan saja sesuai kebutuhan.

"""
31,"""          Pengalaman belajar yang paling menyenangkan adalah saat mulai belajar membuat game menggunakan Consturc 3. Saya merasa sangat senang belajar yang saya sukai.                                           

          Saya menonton video pembahasan tentang materi tersebut dan memninta bantuan ke AI(Chat.Gpt), unruk dirangkumkan dan saya akan mencatat ulang di buku tulis.

          Dengan metode visual dan suara, serta mecatat ulang materi ke buku tulis, serta membaca dan mengingatnya dengan bahasa sendiri atau dapat membuat cerita dengan materi tersebut

          Media audiovisual, Media interaktif (VR/AR). Karena saya dapat mudah memahami dengan melihat gambar/video dan dijelaskan dengan audio serta saya dapat lebih mudah memahaminya dengan berinteraksi secara langsung."""
32,"""Pengalaman Belajar yang Paling Berkesan
Salah satu pengalaman belajar yang paling berkesan bagi saya adalah saat pertama kali belajar coding secara otodidak. Waktu itu, saya tertarik membuat program sederhana setelah melihat teman mengerjakan sesuatu yang terlihat kompleks tetapi keren di laptopnya. Saya memulai dengan mencari artikel-artikel dasar tentang coding dan mencoba memahami logika di balik bahasa pemrograman. Awalnya, saya merasa bingung dan sering frustrasi karena banyak istilah baru yang sulit dipahami. Namun, ketika akhirnya berhasil membuat program sederhana, saya merasa puas dan bangga, seolah semua kerja keras terbayar lunas.

Cara Memahami Materi
Untuk memahami materi baru, saya biasanya memulai dengan membaca artikel atau dokumentasi. Saya suka belajar dengan pendekatan """"coba-coba"""" karena dengan mempraktikkan langsng, saya bisa melihat hasilnya secara nyata. Jika menemui kendala, saya mencari solusi dari artikel lain atau menonton tutorial di YouTube. Biasanya, saya memilih video yang memberikan penjelasan dengan contoh visual karena lebih mudah dipahami. Jika semua usaha itu belum cukup, saya tak ragu bertanya kepada seseorang yang lebih ahli, terutama teman atau komunitas online.

Strategi Pembelajaran
Strategi yang saya gunakan adalah memecah materi menjadi bagian-bagian kecil yang lebih mudah dipahami. Saya belajar dengan cara mencoba, membuat kesalahan, lalu belajar dari kesalahan tersebut. Hal ini sangat efetif karena saya langsung terlibat dengan materi yang saya pelajari, bukan hanya teori saja. Saya memilih metode ini karena saya percaya bahwa pengalaman langsung lebih mudah diingat daripada hanya membaca atau mendengar. Selain itu, saya sering membuat catatan kecil untuk mencatat hal-hal penting agar bisa diulang kembali jika lupa.

Media yang Digunakan
Media belajar favoit saya adalah kombinasi visual dan teks. Saya suka menonton tutorial di YouTube karena saya bisa melihat langkah-langkah yang dilakukan secara nyata. Selain itu, saya juga suka membaca artikel atau dokumentasi resmi karena biasanya lebih detail. Kombinasi ini sangat membantu saya, terutama saat belajar hal teknis seperti coding atau penggunaan software tertentu. Dengan media visual, saya bisa meniru apa yang dilihat, sementara dengan teks, saya bisa lebih memahami konsepnya secara mendalam. Cara ini membuat saya merasa lebih percaya diri untuk mengaplikasikan apa yang sudah dipelajari."""
33,"""Pengalaman belajar yang paling berkesan bagi saya adalah saat berhasil lolos seleksi Pramuka Garuda. Proses ini tidak mudah, karena melibatkan berbagai tahap seperti ujian teori, keterampilan, dan wawancara. Saya harus mempersiapkan diri dengan matang, mempelajari materi kepramukaan, serta melatih fisik dan mental. Ketika dinyatakan lolos, saya merasa sangat bangga karena usaha dan kerja keras saya membuahkan hasil.

Untuk memahami materi seleksi, saya membaca buku panduan Pramuka Garuda dan membuat catatan poin-poin penting. Saya juga mengikuti bimbingan dari kakak pembina untuk memperdalam pemahaman. Selain itu, saya sering berlatih langsung, seperti menyelesaikan simpul-simpul tali dan praktik baris-berbaris, agar lebih percaya diri saat ujian.

Strategi utama saya adalah belajar denganmu metode praktik langsung dan diskusi. Dengan mempraktikkan keterampilan yang diuji, saya lebih mudah mengingat langkah-langkahnya. Diskusi dengan teman dan pembina membantu saya memahami konsep yang mungkin kurang jelas. Strategi ini efektif karena menggabungkan teori dan aplikasi secara langsung.

Media yang paling sering saya gunakan adalah buku panduan resmi Pramuka dan video tutorial. Buku memberikan dasar teori yang terstruktur, sedangkan video membantu saya memvisualisasikan langkah-langkah yang harus dilakukan, seperti teknik mendirikan tenda atau membuat pionering. Media ini saya pilih karena mudah diakses dan sangat membantu dalam proses belajar.



maaf bu melenceng dikit soalnya aku lebih mudah menceritakan ini🙏🏻🧏🏻‍♀️"""
